,Unnamed: 0,Event,Time,Port,Vessel,VesselType
160,160,Departure,2019-12-08 15:27,SINGAPORE,SEA FALCON 11 [SG],cargo
161,161,Departure,2019-12-08 15:27,ROTTERDAM,LIBRA (PILOTS) [NL],tug
162,162,Arrival,2019-12-08 15:27,MEMPHIS,JULIE ROBINSON [US],yacht
163,163,Departure,2019-12-08 15:27,PORTSMOUTH,SOLENT CAT [GB],passenger
164,164,Arrival,2019-12-08 15:27,SALTHOLMEN,VESTA [SE],passenger
165,165,Arrival,2019-12-08 15:27,ROHUKULA,TIIU [EE],passenger
166,166,Arrival,2019-12-08 15:27,MARYSVILLE,WOLFE ISLANDER III [CA],passenger
167,167,Arrival,2019-12-08 15:27,ROTTERDAM WAALHAVEN,AMPHIRA [NL],cargo
168,168,Departure,2019-12-08 15:27,HUFTHAMER,HORGEFJORD [NO],passenger
169,169,Departure,2019-12-08 15:27,VASSOY,TEDNO [NO],passenger
170,170,Arrival,2019-12-08 15:27,NESVIK,HARDINGEN [NO],passenger
171,171,Arrival,2019-12-08 15:27,PUTTGARDEN,SCHLESWIG-HOLSTEIN [DE],passenger
172,172,Arrival,2019-12-08 15:27,SCHOONHOVEN,ZILVERSTAD [NL],passenger
173,173,Departure,2019-12-08 15:27,DUISBURG,BRIENZERSEE [DE],tanker
174,174,Departure,2019-12-08 15:27,STAVERN,RESCUE STORMBULL [NO],tug
175,175,Arrival,2019-12-08 15:27,UTRECHT,RWS 24 [NL],undefined
176,176,Arrival,2019-12-08 15:27,CHEK LAP KOK,WANG HUNG 3113 [CN],cargo
177,177,Arrival,2019-12-08 15:27,GOSPORT,SPIRIT OF PORTSMOUTH [GB],passenger
178,178,Departure,2019-12-08 15:27,VAL-DE-LA-HAYE,BAC 18 [FR],undefined
179,179,Arrival,2019-12-08 15:27,PETIT COURONNE,BAC 18 [FR],undefined
180,180,Arrival,2019-12-08 15:27,WIJNEGEM,AQUA FERRO [BE],passenger
181,181,Arrival,2019-12-08 15:27,SHELTER ISLAND HEIGH,MANHANSETT [US],passenger
182,182,Departure,2019-12-08 15:27,STEILACOOM,WL CALLAHAN [US],passenger
183,183,Arrival,2019-12-08 15:27,BRATTVAG,DRYNA [NO],passenger
184,184,Departure,2019-12-08 15:27,GELKENES,ZILVERSTAD [NL],passenger
185,185,Departure,2019-12-08 15:27,HONG KONG,PILOT21 [HK],tug
186,186,Departure,2019-12-08 15:27,ROTTERDAM CENTRUM,MSTX 15 [NL],undefined
187,187,Arrival,2019-12-08 15:27,DORDRECHT,AQUA RUNNER [NL],passenger
188,188,Departure,2019-12-08 15:27,CIRKEWWA,GAUDOS [MT],passenger
189,189,Arrival,2019-12-08 15:27,NANTUCKET,GREY LADY IV [US],high speed
190,190,Arrival,2019-12-08 15:27,ROTTERDAM PERNIS,MSTX 5 [NL],high speed
