,Event,Time,Port,Vessel,VesselType
255,Arrival,2019-12-08 15:25,LOEDINGEN,BAROY [NO],/icons/icon6_511.png
256,Departure,2019-12-08 15:25,PIRAEUS,NIREAS K [GR],/icons/icon8_511.png
257,Arrival,2019-12-08 15:25,HJELMELAND,HJELMELAND [NO],/icons/icon6_511.png
258,Arrival,2019-12-08 15:25,RODBYHAVN,DEUTSCHLAND [DK],/icons/icon6_511.png
259,Departure,2019-12-08 15:25,CHEVRON SF,CADEN FOSS [US],/icons/icon3_511.png
260,Arrival,2019-12-08 15:25,MONGSTAD ,JUANITA [NO],/icons/icon0_511.png
261,Arrival,2019-12-08 15:25,CASTLETOWN BEARHAVEN,NOVO MORRINA [IE],/icons/icon10_511.png
262,Arrival,2019-12-08 15:25,LAS PALMAS,BLUE HERRON [ES],/icons/icon9_511.png
263,Departure,2019-12-08 15:25,BAKAUHENI,RAJARAKATA [ID],/icons/icon6_511.png
264,Departure,2019-12-08 15:25,TAN TAN,ALMOUGGAR [MA],/icons/icon3_511.png
265,Departure,2019-12-08 15:25,YANTIAN,HAI BANG DA 318 [CN],/icons/icon7_511.png
266,Arrival,2019-12-08 15:25,ZAANDAM,PONT 6 [NL],/icons/icon6_511.png
267,Arrival,2019-12-08 15:25,LOS ANGELES,LUKE [US],/icons/icon3_511.png
268,Arrival,2019-12-08 15:25,SAGUNTO,VB CONQUERIDOR [ES],/icons/icon3_511.png
269,Departure,2019-12-08 15:25,FORT LAUDERDALE,MV PA-LI-NE [US],/icons/icon9_511.png
270,Arrival,2019-12-08 15:25,PORT EVERGLADES,MV PA-LI-NE [US],/icons/icon9_511.png
271,Departure,2019-12-08 15:25,KUPANG,TRANSKO BIMA [ID],/icons/icon8_511.png
272,Departure,2019-12-08 15:25,SINGAPORE,PSA HULK CS04 [SG],/icons/icon0_511.png
273,Departure,2019-12-08 15:25,VISBY,VISBY [SE],/icons/icon6_511.png
274,Arrival,2019-12-08 15:25,HELSINGBORG,TYCHO BRAHE [SE],/icons/icon6_511.png
275,Arrival,2019-12-08 15:25,GOLFE JUAN,COMBAWA [FR],/icons/icon9_511.png
